pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn,infra_score,toilet_functionality_ratio,cwsn_ready
5025256,3,4,3,2,8,5,6,1,1,1,2,2,2,2,1,1,1,1,4,6,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,1,1,2,3,0,18,0,0,0,1,1,1,1,2,4,1.0,True
8929655,3,2,2,7,5,2,3,2,0,1,1,1,1,1,1,1,0,0,2,2,1,2,2,1,2,2,2,9,9,1,9,9,9,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,2,2,3,3,1.0,True
5214844,3,2,1,3,2,2,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,9,1,9,9,9,2,1,1,2,1,2,2,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,2,2,2,3,1.0,True
3893526,3,2,0,5,3,0,3,0,0,2,1,1,1,1,0,0,0,0,1,1,2,1,2,2,2,2,2,1,9,9,9,9,9,2,1,1,2,1,1,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,2,2,3,2,1.0,False
7641933,3,1,1,1,5,1,2,1,2,2,2,2,2,2,0,0,0,0,5,4,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,1,2,1,1,1,1,2,1,1,2,2,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,2,2,2,3,1.0,False
4864190,3,3,3,1,11,6,7,4,0,2,1,1,1,1,0,0,0,0,3,1,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,2,4,4,4,4,4,2,4,4,1,1,1,1,0,12,0,8,0,1,0,3,1,1,3,4,1.0,False
5091129,3,2,0,7,2,2,0,0,2,2,1,1,1,1,0,0,0,0,1,1,1,1,2,1,2,2,2,1,9,1,9,9,9,2,1,1,2,1,2,2,1,9,1,1,2,3,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,2,2,3,3,1.0,False
7361523,3,3,3,1,24,3,20,2,2,1,5,5,4,4,0,0,0,0,8,6,1,1,1,1,2,2,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,0,0,13,0,0,0,1,2,3,1,2,3,4,1.0,False
9206198,3,2,2,1,4,1,1,0,3,2,2,2,2,2,0,0,0,0,1,1,2,1,2,2,2,2,2,1,9,9,9,9,9,2,2,1,2,1,2,2,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,10,0,0,0,1,1,1,2,2,3,2,1.0,False
4524324,3,9,9,1,9,1,5,2,2,1,0,0,2,1,0,0,0,0,0,3,1,1,2,2,2,2,2,1,9,9,9,9,9,2,1,1,2,1,1,1,1,9,1,1,2,2,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,1,1,2,3,4,0.5,False
1217031,3,4,4,5,4,4,4,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,2,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,2,2,3,1,1.0,False
3545548,3,1,1,1,2,0,2,0,0,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,10,0,0,0,0,0,0,0,1,2,2,4,1.0,True
3939898,3,7,7,1,7,0,7,0,0,2,1,0,1,0,0,0,0,0,0,0,2,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,2,2,2,2,9,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0.0,False
9410965,2,8,2,3,8,6,8,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,2,2,1,1,1,1,9,9,1,2,1,3,3,1,2,1,1,9,2,1,2,3,0,0,0,0,0,0,0,0,0,1,9,1,100,1,0,0,0,0,0,0,1,2,1,6,1.0,False
2337163,3,1,1,1,8,6,8,0,0,1,3,2,2,2,0,0,0,0,2,2,2,2,2,1,1,2,2,9,9,1,1,9,9,2,1,1,2,1,1,2,2,1,1,1,1,1,2,2,2,4,2,2,3,3,2,1,2,5,20,6,0,0,0,1,3,3,1,2,3,3,0.8,False
6807183,1,14,14,1,14,6,13,1,0,1,4,4,4,4,0,0,0,0,4,4,1,2,2,1,2,2,2,9,9,1,9,9,9,2,2,1,2,2,2,2,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,14,1,0,0,1,1,2,3,3,1.0,False
3227009,3,1,1,2,5,2,2,0,3,2,1,1,1,1,0,0,0,0,1,1,1,2,2,1,2,2,1,9,9,1,9,9,1,2,1,1,2,1,1,2,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,2,3,4,1.0,False
5241664,1,3,2,1,16,1,12,4,0,1,4,4,4,4,1,1,1,1,7,7,1,2,1,2,2,2,2,9,1,9,9,9,9,2,1,1,2,1,1,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,0,4,1,1,1,3,4,1.0,True
7956780,3,2,1,1,6,1,6,0,0,1,3,2,3,2,1,1,0,0,3,3,1,1,2,2,2,1,2,1,9,9,9,1,9,2,1,1,1,1,1,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,1,0,0,1,2,3,4,0.6666666666666666,True
8184882,3,1,1,5,1,0,1,0,0,2,1,1,1,1,0,0,0,0,2,2,1,1,2,2,2,2,2,1,9,9,9,9,9,2,2,1,2,1,2,1,1,9,2,1,2,3,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,2,2,3,3,1.0,False
